schema_namespace,schema_sha256,topic_uuid,topic_name,question_uuid,question_label,question_text,question_type,question_hint_type,question_next_questions,question_options,answer_count,answer_uuid,answer_label,answer_content,answer_next_questions,nohighlight,optionalhighlight,answer_options
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,486f3737-8330-40e2-8b4c-871620950cc8,T1.Q6,What evidence is given for the primary causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),CHECKBOX,NONE,,{},9,f60f5102-17cb-447a-9b58-1e0d5f5cd0dd,T1.Q6.A4,A plausible mechanism is proposed,"T1.Q11, T1.Q12",0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,486f3737-8330-40e2-8b4c-871620950cc8,T1.Q6,What evidence is given for the primary causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),CHECKBOX,NONE,,{},9,4c1403f2-6054-4a59-a0ef-6b6611232b14,T1.Q6.A5,An experimental study was conducted (natural experiments OK),"T1.Q8, T1.Q9, T1.Q10, T1.Q11, T1.Q12",0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,486f3737-8330-40e2-8b4c-871620950cc8,T1.Q6,What evidence is given for the primary causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),CHECKBOX,NONE,,{},9,2e7e9a75-350b-489e-a782-19d8ad5e7496,T1.Q6.A6,"The bigger the cause, the bigger the effect (dose response curve)","T1.Q11, T1.Q12",0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,486f3737-8330-40e2-8b4c-871620950cc8,T1.Q6,What evidence is given for the primary causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),CHECKBOX,NONE,,{},9,449343a8-a0e2-406d-bf43-39979c74a210,T1.Q6.A7,Experts are cited,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,486f3737-8330-40e2-8b4c-871620950cc8,T1.Q6,What evidence is given for the primary causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),CHECKBOX,NONE,,{},9,5910b7a3-98eb-446b-8be3-bb3d672aae3b,T1.Q6.A8,Other evidence,"T1.Q7, T1.Q11, T1.Q12",0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,486f3737-8330-40e2-8b4c-871620950cc8,T1.Q6,What evidence is given for the primary causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),CHECKBOX,NONE,,{},9,7cae5a30-7e35-444b-9eb9-227ca6a32afa,T1.Q6.A9,No evidence given,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,e930a311-cc34-4b6e-906e-c6e288bfed82,T1.Q7,What other evidence is given?,TEXT,NONE,,{},1,cf2e5d23-e90d-403d-9fb9-2d15933cf81e,T1.Q7.A1,placeholder answer for TEXT,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,79930d41-0d7e-4514-a90b-1c788080f8a6,T1.Q8,How representative is the sample of the population about which the claim is made?,RADIO,NONE,,{},5,188ccf18-ab29-4515-968d-1843a96fd555,T1.Q8.A1,Very representative (Also choose this if entire population is examined),,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,79930d41-0d7e-4514-a90b-1c788080f8a6,T1.Q8,How representative is the sample of the population about which the claim is made?,RADIO,NONE,,{},5,f21c4980-5d15-4243-b5ae-42f1f8622249,T1.Q8.A2,Fairly representative,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,79930d41-0d7e-4514-a90b-1c788080f8a6,T1.Q8,How representative is the sample of the population about which the claim is made?,RADIO,NONE,,{},5,fb7f5569-e11f-474e-9a4c-68d7b54d7481,T1.Q8.A3,Somewhat representative,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,79930d41-0d7e-4514-a90b-1c788080f8a6,T1.Q8,How representative is the sample of the population about which the claim is made?,RADIO,NONE,,{},5,b653f770-ba59-4f45-b72e-620eb11a26c1,T1.Q8.A4,Slightly representative,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,79930d41-0d7e-4514-a90b-1c788080f8a6,T1.Q8,How representative is the sample of the population about which the claim is made?,RADIO,NONE,,{},5,e0d1a17f-dade-4f4d-b2c4-34de805a6b07,T1.Q8.A5,Not at all representative,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,140877ba-5c8d-4425-a367-0411ca6cf8ab,T1.Q9,"Was there an adequate control condition? If so, highlight section describing it.",RADIO,NONE,,{},4,f32587a1-51ea-4f8d-a28b-49a9ea6963cb,T1.Q9.A1,There was an appropriate control condition,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,140877ba-5c8d-4425-a367-0411ca6cf8ab,T1.Q9,"Was there an adequate control condition? If so, highlight section describing it.",RADIO,NONE,,{},4,0ba55e18-7164-410e-92a9-212db1d2bec6,T1.Q9.A2,"There was a control condition, but it was questionably appropriate",,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,140877ba-5c8d-4425-a367-0411ca6cf8ab,T1.Q9,"Was there an adequate control condition? If so, highlight section describing it.",RADIO,NONE,,{},4,6cfc99ee-3176-4791-ab36-de4d0d798915,T1.Q9.A3,"There was a control condition, but it was not appropriate at all",,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,140877ba-5c8d-4425-a367-0411ca6cf8ab,T1.Q9,"Was there an adequate control condition? If so, highlight section describing it.",RADIO,NONE,,{},4,164f0334-b3a0-4768-848e-35de35664d86,T1.Q9.A4,There was no control condition,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,1e83510a-704a-4dec-8837-c324eee6f8ee,T1.Q10,"Was randomized assignment used? If so, highlight section describing it.",RADIO,NONE,,{},3,73545390-eb0f-41e3-b753-97a98748d2b1,T1.Q10.A1,Yes,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,1e83510a-704a-4dec-8837-c324eee6f8ee,T1.Q10,"Was randomized assignment used? If so, highlight section describing it.",RADIO,NONE,,{},3,08d3407d-920f-44bb-999b-87cdf3f5acd3,T1.Q10.A2,No,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,1e83510a-704a-4dec-8837-c324eee6f8ee,T1.Q10,"Was randomized assignment used? If so, highlight section describing it.",RADIO,NONE,,{},3,8dbbc477-9db5-469a-ba80-d503b0e127b0,T1.Q10.A3,Can't tell; not enough info,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,f61f6075-a39a-4d7f-959e-c1b22ec5c544,T1.Q11,What is the best alternative explanation you can think of that could lead to the same set of evidence?,TEXT,NONE,,{},1,e1a522af-e791-4a8c-8fd6-6ae2bf6e13fb,T1.Q11.A1,placeholder answer for TEXT,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,981d73fe-8185-49ff-bc0e-fdc625a9fe45,T1.Q12,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",RADIO,NONE,,{},5,cfb57109-1af7-4447-abad-06f831387f85,T1.Q12.A1,Much more likely than author’s,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,981d73fe-8185-49ff-bc0e-fdc625a9fe45,T1.Q12,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",RADIO,NONE,,{},5,64e37094-3b67-45c1-92a5-f71c7ca7fbe6,T1.Q12.A2,Somewhat more likely,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,981d73fe-8185-49ff-bc0e-fdc625a9fe45,T1.Q12,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",RADIO,NONE,,{},5,117076bd-3bde-4f9c-b8ec-b670f9e0bf87,T1.Q12.A3,Equally likely,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,981d73fe-8185-49ff-bc0e-fdc625a9fe45,T1.Q12,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",RADIO,NONE,,{},5,d11c590e-8ad7-45fa-8f23-6d3530eb5aca,T1.Q12.A4,Somewhat less likely,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,981d73fe-8185-49ff-bc0e-fdc625a9fe45,T1.Q12,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",RADIO,NONE,,{},5,a94a627d-4702-4fb9-8c8a-eb28b8fbc98f,T1.Q12.A5,Much less likely,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,d4945864-e507-44a0-9c11-81c7e18e1580,T1.Q13,"Last question: How credible do you find this article, as a whole?",RADIO,WHO,,{},5,ed212c0c-8fe6-41e8-ade0-73dd2c167193,T1.Q13.A1,Very credible,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,d4945864-e507-44a0-9c11-81c7e18e1580,T1.Q13,"Last question: How credible do you find this article, as a whole?",RADIO,WHO,,{},5,5def6c73-4888-4035-a993-6557295964e9,T1.Q13.A2,Fairly credible,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,d4945864-e507-44a0-9c11-81c7e18e1580,T1.Q13,"Last question: How credible do you find this article, as a whole?",RADIO,WHO,,{},5,9c6e6a6a-4487-4604-9a55-36b83e495ba4,T1.Q13.A3,Somewhat credible,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,d4945864-e507-44a0-9c11-81c7e18e1580,T1.Q13,"Last question: How credible do you find this article, as a whole?",RADIO,WHO,,{},5,c2e364ea-ab64-4b8d-be6d-f917b33aa5c4,T1.Q13.A4,Not very credible,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,42e0ef92-b469-4b29-b344-aef70632b80c,Science and Causality Questions for SSS Students V2,d4945864-e507-44a0-9c11-81c7e18e1580,T1.Q13,"Last question: How credible do you find this article, as a whole?",RADIO,WHO,,{},5,4d1086ac-46ec-42a6-9874-cdd903de8bbb,T1.Q13.A5,Not credible at all,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
